r  	flux_corr            
10.	0.0000125562228121005
9.9	0.0000134323093827795
9.8	0.0000143802508046653
9.7	0.0000154068544998281
9.6	0.0000165196629248574
9.5	0.000017727043079493 
9.4	0.000019038288205174 
9.3	0.00002046373351745  
9.2	0.000022014888124259 
9.1	0.000023704585646755 
9. 	0.000025547156491964 
8.9	0.000027558625241036 
8.8	0.000029756937230103 
8.7	0.000032162219133666 
8.6	0.000034797079238547 
8.5	0.00003768695415141  
8.4	0.00004086050995376  
8.3	0.00004435010735385  
8.2	0.00004819234224555  
8.1	0.000052428675346    
8. 	0.00005710616734164  
7.9	0.00006227833934653  
7.8	0.00006800618261944  
7.7	0.00007435934659017  
7.6	0.00008141754055802  
7.5	0.0000892721922628   
7.4	0.00009802841629873  
7.3	0.0001078073575734   
7.2	0.000118748990395    
7.1	0.0001310154732042   
7. 	0.0001447951836332   
6.9	0.0001603075900577   
6.8	0.0001778091561839   
6.7	0.000197600527314    
6.6	0.0002200353145359   
6.5	0.0002455308813869   
6.4	0.000274581653567    
6.3	0.000307775625933    
6.2	0.000345814945797    
6.1	0.000389541726859    
6. 	0.000439970621003    
5.9	0.000498330185004    
5.8	0.0005661157824      
5.7	0.000645157740601    
