r  	flux_corr           
10.	0.000011634417971319
9.9	0.000012436491749068
9.8	0.000013303509371371
9.7	0.000014241539162769
9.6	0.000015257295024816
9.5	0.000016358213806224
9.4	0.000017552543030611
9.3	0.000018849440520059
9.2	0.000020259087704656
9.1	0.000021792818705481
9. 	0.00002346326763005 
8.9	0.000025284536935772
8.8	0.000027272390211821
8.7	0.000029444473318927
8.6	0.000031820568529749
8.5	0.00003442288715387 
8.4	0.00003727640714085 
8.3	0.00004040926336903 
8.2	0.0000438531997926  
8.1	0.00004764409439175 
8. 	0.00005182257002096 
7.9	0.00005643470686881 
7.8	0.00006153287543903 
7.7	0.00006717671288039 
7.6	0.00007343427030958 
7.5	0.00008038336471619 
7.4	0.00008811317640303 
7.3	0.0000967261420746  
7.2	0.000106340205125   
7.1	0.0001170914990246  
7. 	0.0001291375577821  
6.9	0.0001426611703428  
6.8	0.0001578750249002  
6.7	0.0001750273263327  
6.6	0.000194408617856   
6.5	0.000216360099912   
6.4	0.00024128381989    
6.3	0.000269655211807   
6.2	0.000302038604217   
6.1	0.000339106499372   
6. 	0.000381663673936   
5.9	0.000430677485053   
5.8	0.00048731621933    
5.7	0.000552997945337   
5.6	0.000629453193921   
5.5	0.00071880600052    
5.4	0.00082367955732    
