r  	flux_corr          
10.	0.000010762850845   
9.9	0.000011495830958728
9.8	0.000012287391862386
9.7	0.000013142931476249
9.6	0.000014068413447887
9.5	0.000015070433872359
9.4	0.000016156296791655
9.3	0.0000173340997533  
9.2	0.000018612830913598
9.1	0.000020002479412745
9. 	0.000021514161033959
8.9	0.000023160261495249
8.8	0.000024954600120719
8.7	0.00002691261711074 
8.6	0.00002905158819207 
8.5	0.00003139087109846 
8.4	0.00003395218913239 
8.3	0.00003675995801651 
8.2	0.00003984166339458 
8.1	0.00004322829772721 
8. 	0.00004695486700192 
7.9	0.0000510609797041  
7.8	0.0000555915329587  
7.7	0.00006059751375415 
7.6	0.0000661369368305  
7.5	0.0000722759453164  
7.4	0.0000790901057451  
7.3	0.0000866659359277  
7.2	0.0000951027126649  
7.1	0.0001045146168594  
7. 	0.0001150332868309  
6.9	0.0001268108672649  
6.8	0.0001400236622072  
6.7	0.000154876527127   
6.6	0.000171608168974   
6.5	0.000190497566593   
6.4	0.000211871779829   
6.3	0.000236115488155   
6.2	0.000263682694233   
6.1	0.000295111151916   
6. 	0.00033104024221    
5.9	0.000372233239123   
5.8	0.000419605200312   
5.7	0.000474258113949   
5.6	0.000537525474367   
5.5	0.000611029204859   
5.4	0.00069675288397    
5.3	0.0007971366923     
5.2	0.0009152015756     
5.1	0.00105471311916    
5. 	0.00122040000868    
