r  	flux_corr                
10.	9.93775053801631992e-6   
9.9	0.00001060613188936097563
9.8	0.00001132722516052418431
9.7	0.00001210581895566229762
9.6	0.00001294719617303029116
9.5	0.0000138571913584552994 
9.4	0.0000148422554749085938 
9.3	0.0000159095291493164086 
9.2	0.00001706692562479426   
9.1	0.0000183232248423246875 
9. 	0.0000196881803059359257 
8.9	0.0000211726406561954341 
8.8	0.0000227886881961739516 
8.7	0.0000245497969914823987 
8.6	0.0000264710136130850689 
8.5	0.0000285691641223973678 
8.4	0.0000308630915298213077 
8.3	0.0000333739287113176682 
8.2	0.000036125412668572782  
8.1	0.0000391442470984267    
8. 	0.00004246052153553378   
7.9	0.000046108196897071572  
7.8	0.000050125669149757742  
7.7	0.000054556425112344893  
7.6	0.000059449807194801437  
7.5	0.000064861907276163839  
7.4	0.00007085661408481614   
7.3	0.00007750684355535185   
7.2	0.00008489598793367394   
7.1	0.0000931196271910001    
7. 	0.0001022875559783157    
6.9	0.00011252619140850147   
6.8	0.00012398144204511065   
6.7	0.0001368221374522767    
6.6	0.0001512441416289423    
6.5	0.0001674753040728774    
6.4	0.0001857814410296892    
6.3	0.0002064735892565231    
6.2	0.000229916838827091     
6.1	0.000256541134795786     
6. 	0.000286854546283104     
5.9	0.000321459644466677     
5.8	0.00036107382013148      
5.7	0.00040655462369453      
5.6	0.00045893154970584      
5.5	0.0005194461475089       
5.4	0.0005896029685852       
5.3	0.000671234729744        
5.2	0.0007665862837341       
5.1	0.000878423700097        
5. 	0.001010177207387        
4.9	0.0011661302711602       
4.8	0.001351672247556        
4.7	0.001573640033921        
