r  	flux_corr              
10.	7.0376393961352986e-6  
9.9	7.4854799580378416e-6  
9.8	7.9666189668300488e-6  
9.7	8.4838970179176545e-6  
9.6	9.0404288357299602e-6  
9.5	9.6396328670738743e-6  
9.4	0.000010285264415916284
9.3	0.000010981452785881208
9.2	0.000011732742963875832
9.1	0.000012544142455898018
9. 	0.000013421173976009429
8.9	0.000014369934793790879
8.8	0.000015397163666828219
8.7	0.000016510316425873596
8.6	0.000017717651444816032
8.5	0.000019028326419681016
8.4	0.000020452508105581278
8.3	0.00002200149692386703 
8.2	0.000023687868660875869
8.1	0.000025525635843314627
8. 	0.0000275304318038393  
7.9	0.00002971972095641325 
7.8	0.00003211303939973468 
7.7	0.00003473227067688413 
7.6	0.00003760196236278147 
7.5	0.00004074969015539511 
7.4	0.0000442064773453134  
7.3	0.00004800727897218812 
7.2	0.00005219154169596367 
7.1	0.0000568038524776463  
7. 	0.0000618946916551849  
6.9	0.0000675213090096889  
6.8	0.00007374874506366    
6.7	0.0000806510242833317  
6.6	0.0000883125522558082  
6.5	0.000096829755509925   
6.4	0.000106313010739446   
6.3	0.000116888920137827   
6.2	0.000128703001834863   
6.1	0.0001419228796364     
6. 	0.00015674207517744    
5.9	0.00017338452919601    
5.8	0.00019211000820127    
5.7	0.00021322059001147    
5.6	0.00023706846865581    
5.5	0.00026406537883848    
5.4	0.0002946940163512     
5.3	0.000329521928554      
5.2	0.0003692184751139     
5.1	0.0004145756227757     
5. 	0.0004665335515503     
4.9	0.0005262123305199     
4.8	0.000594951293319      
4.7	0.000674358239618      
4.6	0.000766371256835      
4.5	0.000873336863468      
4.4	0.000998109419784      
4.3	0.001144178477163      
4.2	0.001315833158503      
4.1	0.00151837610369       
4. 	0.00175840447621       
3.9	0.00204418279464       
3.8	0.002386143183232      
3.7	0.00279756508771       
3.6	0.00329551203023       
3.5	0.0039021435345        
3.4	0.0046465865029        
3.3	0.00556766143245       
3.2	0.00671795170472       
3.1	0.0081700514827        
3. 	0.010026479728         
