r  	flux_corr             
10.	6.09085371916381e-6   
9.9	6.46897978064542e-6   
9.8	6.87448162070074e-6   
9.7	7.30962824408484e-6   
9.6	7.77690087962847e-6   
9.5	8.27901512330785e-6   
9.4	8.81894563435072e-6   
9.3	9.39995370708853e-6   
9.2	0.00001002561808568561
9.1	0.00001069986943991399
9. 	0.00001142702897886467
8.9	0.00001221185174713313
8.8	0.00001305957522605438
8.7	0.00001397597395270568
8.6	0.00001496742097367026
8.5	0.00001604095707134349
8.4	0.00001720436884068551
8.3	0.00001846627685711197
8.2	0.00001983623536561233
8.1	0.00002132484514188404
8. 	0.00002294388143383284
7.9	0.00002470643919285131
7.8	0.0000266270981567498 
7.7	0.0000287221107595382 
7.6	0.0000310096163287363 
7.5	0.0000335098856021003 
7.4	0.0000362456002688816 
7.3	0.0000392421730355744 
7.2	0.0000425281146562267 
7.1	0.0000461354554813213 
7. 	0.000050100230401565  
6.9	0.0000544630376355807 
6.8	0.000059269683684442  
6.7	0.000064571929013257  
6.6	0.000070428351696357  
6.5	0.000076905349470624  
6.4	0.000084078304494621  
6.3	0.000092032939748795  
6.2	0.000100866901605635  
6.1	0.00011069160985986   
6. 	0.0001216344246991    
5.9	0.0001338411900391    
5.8	0.00014747922474728   
5.7	0.00016274084803497   
5.6	0.0001798475433386    
5.5	0.000199054887115     
5.4	0.0002206583961296    
5.3	0.0002450004802499    
5.2	0.0002724787290359    
5.1	0.0003035558115009    
5. 	0.0003387713318161    
4.9	0.0003787560626207    
4.8	0.000424249076041     
4.7	0.000476118415746     
4.6	0.00053538610805      
4.5	0.0006032585049943    
4.4	0.000681163198679     
4.3	0.000770794058945     
4.2	0.000874166345276     
4.1	0.00099368435494      
4. 	0.00113222472849      
3.9	0.001293239389765     
3.8	0.00148088321892      
3.7	0.00170017304241      
3.6	0.00195718651684      
3.5	0.0022593122029       
3.4	0.0026155659106       
3.3	0.0030369937948       
3.2	0.0035371906028       
3.1	0.0041329734892       
3. 	0.0048452707034       
2.9	0.00570031532911      
2.8	0.00673128677         
2.7	0.00798063571497      
2.6	0.009503500127        
2.5	0.0113729507425       
2.4	0.01368847226998      
2.3	0.01659050383         
2.2	0.020287060811        
2.1	0.025106238539        
2. 	0.031609205839        
