r  	flux_corr       
10.	5.819752326705e-6   
9.9	6.178130345948e-6   
9.8	6.562226215943e-6   
9.7	6.974151007457e-6   
9.6	7.416211153101e-6   
9.5	7.890928592498e-6   
9.4	8.401063209934e-6   
9.3	8.949637850047e-6   
9.2	9.539966235792e-6   
9.1	0.00001017568415722 
9. 	0.000010860784350476
8.9	0.000011599655544881
8.8	0.000012397126223162
8.7	0.00001325851371739 
8.6	0.000014189679352481
8.5	0.00001519709045231 
8.4	0.000016287890142773
8.3	0.000017469976024299
8.2	0.00001875208894649 
8.1	0.000020143913303544
8. 	0.000021656190485408
7.9	0.00002330084737132 
7.8	0.000025091142046059
7.7	0.00002704182926192 
7.6	0.00002916934857035 
7.5	0.00003149203851645 
7.4	0.00003403038084013 
7.3	0.00003680727927423 
7.2	0.00003984837829018 
7.1	0.00004318242803796 
7. 	0.0000468417027837  
6.9	0.0000508624813973  
6.8	0.0000552855999199  
6.7	0.00006015708799284 
6.6	0.0000655289030079  
6.5	0.0000714597783095  
6.4	0.0000780162047218  
6.3	0.0000852735681775  
6.2	0.000093317470415   
6.1	0.0001022452647094  
6. 	0.0001121678445974  
5.9	0.0001232117307304  
5.8	0.0001355215096044  
5.7	0.0001492626882599  
5.6	0.00016462504148    
5.5	0.000181826542979   
5.4	0.000201117990075   
5.3	0.0002227884530448  
5.2	0.000247171706455   
5.1	0.000274653831205   
5. 	0.000305682213843   
4.9	0.000340776215114   
4.8	0.000380539834162   
4.7	0.00042567675987    
4.6	0.00047700827829    
4.5	0.00053549459669    
4.4	0.000602260252577   
4.3	0.00067862440074    
4.2	0.00076613691477    
4.1	0.0008666213997     
4. 	0.00098222638616    
3.9	0.00111548615642    
3.8	0.0012693928222     
3.7	0.00144748140657    
3.6	0.00165392973323    
3.5	0.00189367481806    
3.4	0.0021725470802     
3.3	0.0024974228551     
3.2	0.00287639413082    
3.1	0.0033189517358     
3. 	0.0038361737726     
2.9	0.004440904079      
2.8	0.0051478947        
2.7	0.00597387014       
2.6	0.0069374475083     
2.5	0.008058812916      
2.4	0.009359008089      
2.3	0.0108586198889     
2.2	0.0125755903103     
2.1	0.014521785888      
2. 	0.0166979242762     
1.9	0.019086590171      
1.8	0.021643848898      
1.7	0.02429298688       
1.6	0.02693497274       
1.5	0.02953243424       
1.4	0.03250741952       
