# \Delta U data from Table III of https://arxiv.org/abs/1207.5595
#r0/M	a=-0.9M					a=-0.7M					a=-0.5M				a=0.0				a=0.5M				a=0.7M				a=0.9M
4		-                       -                       -                  	-                   -                   -0.39639405         -0.32811192
5		-                       -                       -                  	-                   -0.31443977         -0.27861234         -0.25156061
6		-                       -                       -                   -0.29602751         -0.23463184         -0.21756347         -0.20361838
7       -                       -                       -                   -0.22084753         -0.18875155         -0.17902998         -0.17073001
8       -                       -                       -0.20415909         -0.17771974         -0.15838853         -0.15222199         -0.14680897
10		-0.15129436				-0.14557511             -0.14033900         -0.12912227         -0.12019572         -0.11717475         -0.11443451
15		-0.083291764            -0.081933637            -0.080646922        -0.077725319        -0.075195106        -0.074284771        -0.073429473
20		-0.058142984            -0.057590366            -0.057059948        -0.055827719        -0.054723506        -0.054316065        -0.053927537
30		-0.036504919            -0.036334869            -0.036169772        -0.035778314        -0.035416550        -0.035279964        -0.035147937
50		-0.021026283            -0.020984416            -0.020943414        -0.020844656        -0.020751199        -0.020715285        -0.02068020
70		-0.014784459            -0.014767331            -0.014750491        -0.014709646        -0.014670583        -0.014655454        -0.014640606
100		-0.010234918            -0.010228170            -0.010221515        -0.010205282        -0.010189625        -0.010183523        -0.010177512
