# Second Order Binding Energy
# Data from "Second-order self-force calculation of gravitational binding energy", Adam Pound, Barry Wardell, Niels Warburton, Jeremy Miller, arXiv:1908.07419
# Data format:
# 1/y	E_SF	estimated error in E_SF		E^cons_SF		E^1st_law		\Delta E_SF 	\Delta E^cons_SF
5		-0.052852415090067106	2.917556258947389e-6	-0.05017738628720403	-0.05190429201012803	0.018266756817607144	0.03327096191943102
5.25	-0.04735828076215709	3.04743000116877e-6		-0.045359021068588024	-0.04605029426804192	0.02840343400417522		0.01501126562688715
5.5		-0.043660097798239095	3.215783609243287e-6	-0.04213670847169171	-0.04226412830240961	0.033029653086442456	0.003014845824009016
5.75	-0.041019431255800654	3.3818683144783045e-6	-0.03983905259748022	-0.03966176865470702	0.0342310150844094		0.004469895034601823
6		-0.039030724580331855	3.544244745986917e-6	-0.03810266100637816	-0.03776619203690911	0.033483188937526664	0.008909263850064963
6.25	-0.03745933964052395	3.701489597785405e-6	-0.03672020521290187	-0.03630807393160329	0.031708256160582815	0.01135095411766951
6.5		-0.03616460697224988	3.8502118226057055e-6	-0.035569174281424476	-0.035129679791730366	0.029460193962916215	0.012510631816164963
7		-0.034089409385616554	4.126396948363216e-6	-0.033691363298830934	-0.03326745716696219	0.024707395414358402	0.012742366503735392
8		-0.030985867994278604	4.600140524195463e-6	-0.03079026372368243	-0.03047411167989387	0.016793149534933827	0.010374446583036878
9		-0.028545052167028406	4.989996599478509e-6	-0.028439265620190946	-0.028219842340153567	0.011524154633993255	0.007775496311868801
10		-0.026475986576270594	5.324729287048392e-6	-0.026414520624662874	-0.026262840295892653	0.008115888379798486	0.0057754731423296235
12		-0.02308807908008137	5.913441937028835e-6	-0.02306379568439154	-0.022987731868385094	0.004365250659386755	0.0033088873857562984
14		-0.020423961117926215	6.498027628938654e-6	-0.020412805370587872	-0.020371680363953537	0.002566344701990575	0.0020187341397277514
16		-0.0182850189994066		7.187336484276177e-6	-0.018279311478088478	-0.018253887351081268	0.0017054804670681989	0.0013928061742807252
18		-0.016538571064133478	8.155968884818042e-6	-0.016535404627959216	-0.01651511952678693	0.001420004094339955	0.001228274560131748
20		-0.015080984969701672	8.773582566953022e-6	-0.015079113563456703	-0.015067435432898457	0.0008992596559351806	0.000775057614167407
25		-0.01234256674460199	9.028865478929071e-6	-0.012341950960796488	-0.01233826350545697	0.00034877186267889826	0.0002988633966107823
30		-0.010437210663802321	0.000013135417826239958	-0.010436962017773666	-0.010433860967612008	0.00032104090716855715	0.0002972102246026065
40		-0.007965359342859024	0.000023503552634695748	-0.00796529984142269	-0.007962415578196123	0.00036970748813480725	0.00036223470104546074
50		-0.006429921187559695	0.000037820021213252624	-0.006429901562995499	-0.0064332488507401475	0.0005172601367766649	0.0005203106272287927
