# Flux from a spinning secondary on a circular orbit in Schwarzschild spacetime
# Data from Table I of https://arxiv.org/abs/1912.09461
# Format:
# r0	F0					FH_sigma				FInf_sigma				dE/dt_sigma			\Delta_rel
6		0.00094033935628	-2.4411027706e-6		-0.0005050521990		-0.00076294600853	2.7e-11
8		0.00019610454858	-5.8512615270699e-8		-0.000062795524582		-0.000082793540332	5.1e-13
10		0.000061516316785	-4.02409747536897e-9	-0.000013528384048576	-0.0000166725567034	6.9e-13
12		0.000024291700945	-4.917303952656e-10		-3.967615345444e-6		-4.694436955265e-6	4.7e-13
20		1.8714709114e-6		-1.7044774934187e-12	-1.363681646442e-7		-1.499163835028e-7	1.e-13
30		2.4864755005e-7		-2.144634376248e-14		-9.6955394911065e-9		-1.03086338505e-8	4.1e-13
40		5.9501545594e-8		-9.927811950102e-16		-1.49558022978768e-9	-1.56494549168e-9	2.3e-12
50		1.9624578561e-8		-9.25922620716e-17		-3.51467899595e-10		-3.64338707066e-10	1.5e-12
60		7.926444853e-9		-1.33975153331e-17		-1.07706168184e-10		-1.1096468581e-10	3.5e-11
70		3.6818812737e-9		-2.620714098344e-18		-3.963027373213e-11		-4.0651669377e-11	3.3e-12
80		1.8945359109e-9		-6.38761880534e-19		-1.66688751664e-11		-1.7043065115e-11	2.9e-11
90		1.0541122976e-9		-1.84096376783e-19		-7.7649000465e-12		-7.919293126e-12	1.3e-11
100		6.2382034734e-10	-6.05434134454e-20		-3.92050069646e-12		-3.9904601554e-12	5.4e-12
