# Flux from a spinning secondary on a circular orbit in Schwarzschild spacetime
# Data from Table II of https://arxiv.org/abs/1912.09461
# Format:
# y		F0					FH_sigma			FInf_sigma			dE/dt_sigma			\Delta_rel
0.2		0.00279273701868	3.77193403191e-7	-0.0006104060211	-0.000964540266941	3.e-13
0.18	0.00146844806236	7.605414762924e-8	-0.000260585846715	-0.0003841007341364	6.5e-14
0.16	0.0007467542778218	1.089805069009e-8	-0.0001050643019744	-0.0001456828594266	1.4e-14
0.14	0.00035876589417	8.0692632306e-10	-0.000038940747125	-0.000051130646432	7.5e-12
0.12	0.0001582281533		-6.539052356e-11	-0.00001280679512	-0.00001600857564	9.9e-11
0.1		0.00006151631678	-2.669935713e-11	-3.549175593e-6		-4.242108121e-6		3.4e-11
0.09	0.00003590633623	-1.014769938e-11	-1.710319876e-6		-2.001789881e-6		1.5e-11
0.08	0.000019757908533	-3.1009617821e-12	-7.6206608517e-7	-8.7415330798e-7	6.e-12
0.07	0.000010079767299	-7.5507222921e-13	-3.0721180533e-7	-3.4564113472e-7	2.e-12
0.06	4.6528705441e-6		-1.4058811966e-13	-1.0855179435e-7	-1.1987555833e-7	1.1e-12
0.05	1.8714709114e-6		-1.8506079813e-14	-3.2008999168e-8	-3.4718654292e-8	1.2e-12
0.04	6.1579196033e-7		-1.4966312714e-15	-7.255453657e-9		-7.7343411813e-9	1.9e-12
0.03	1.47265886605e-7	-5.67900033301e-17	-1.08380957e-9		-1.13614119765e-9	5.5e-13
0.02	1.9624578561e-8		-5.4913567205e-19	-7.5512423521e-11	-7.7885118542e-11	4.7e-12
0.015	4.6933548927e-9		-2.0239012136e-20	-1.1490337069e-11	-1.1757935781e-11	1.9e-12
0.01	6.238203473e-10		-1.91947959e-22		-8.140678916e-13	-8.265607122e-13	7.3e-11
